nctid,neoplasm_category,neoplasm
NCT04657991,Neoplasms by Site,Skin Neoplasms
NCT04657991,Neoplasms by Histologic Type,Melanoma
NCT00497991,Neoplasms by Histologic Type,Leukemia
NCT00213694,Neoplasms by Site,Prostatic Neoplasms
NCT01202591,Neoplasms by Site,Breast Neoplasms
NCT00028691,Neoplasms by Histologic Type,Lymphoma
NCT05116891,Neoplasms by Site,Biliary Tract Neoplasms
NCT05310591,Neoplasms by Histologic Type,Leukemia
NCT05608291,Neoplasms by Site,Skin Neoplasms
NCT05608291,Neoplasms by Histologic Type,Melanoma
NCT00668291,Neoplasms by Site,Heart Neoplasms
NCT00668291,Neoplasms by Histologic Type,Carney Complex
NCT06154291,Neoplastic Processes,Neoplasm Metastasis
NCT01416662,Neoplasms by Site,Pancreatic Neoplasms
NCT02839291,Neoplasms by Site,Bone Neoplasms
NCT02839291,Neoplastic Processes,Neoplasm Metastasis
NCT04066491,Neoplasms by Site,Biliary Tract Neoplasms
NCT04066491,Neoplasms by Histologic Type,Cholangiocarcinoma
NCT02876991,Neoplasms by Site,Bone Neoplasms
NCT02876991,Neoplasms by Histologic Type,Adenocarcinoma
NCT02876991,Neoplastic Processes,Neoplasm Metastasis
NCT01658462,Neoplasms by Site,Breast Neoplasms
NCT06459791,Neoplasms by Site,Breast Neoplasms
NCT03612791,Neoplasms by Site,Uterine Cervical Neoplasms
NCT05029791,Neoplasms by Site,Skin Neoplasms
NCT05029791,Neoplasms by Histologic Type,Melanoma
NCT02884362,Neoplasms by Site,Skin Neoplasms
NCT02884362,Neoplasms by Histologic Type,Melanoma
NCT05456191,Neoplasms by Histologic Type,Leukemia
NCT00910091,Neoplasms by Site,Endometrial Neoplasms
NCT02678091,Neoplasms by Site,Orbital Neoplasms
NCT06113094,Neoplasms by Histologic Type,"Fibromatosis, Aggressive"
NCT00003860,Neoplasms by Site,Lung Neoplasms
NCT00937560,Neoplasms by Site,Ovarian Neoplasms
NCT00937560,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT02052960,Neoplasms by Site,Head and Neck Neoplasms
NCT02052960,Neoplasms by Histologic Type,"Carcinoma, Squamous Cell"
NCT04550260,Neoplasms by Site,Esophageal Neoplasms
NCT04550260,Neoplasms by Histologic Type,Carcinoma
NCT06583460,Neoplasms by Site,Breast Neoplasms
NCT04697160,Neoplasms by Histologic Type,Lymphoma
NCT00101660,Neoplasms by Histologic Type,Leukemia
NCT02834494,Neoplasms by Site,Breast Neoplasms
NCT03260894,Neoplasms by Site,Kidney Neoplasms
NCT03260894,Neoplasms by Histologic Type,Carcinoma
NCT03663894,Neoplasms by Histologic Type,Lymphoma
NCT02614794,Neoplasms by Site,Breast Neoplasms
NCT03731260,Neoplasms by Histologic Type,Mastocytosis
NCT00374660,Neoplasms by Site,Liver Neoplasms
NCT02078960,Neoplasms by Histologic Type,Leukemia
NCT01744860,Neoplasms by Site,Skin Neoplasms
NCT01744860,Neoplasms by Histologic Type,Melanoma
NCT01191060,Neoplasms by Histologic Type,Multiple Myeloma
NCT02734160,Neoplasms by Site,Pancreatic Neoplasms
NCT00801060,Neoplasms by Histologic Type,Leukemia
NCT00999960,Neoplasms by Site,Prostatic Neoplasms
NCT04628494,Neoplasms by Histologic Type,Lymphoma
NCT03472794,Neoplasms by Site,Breast Neoplasms
NCT00724360,Neoplasms by Histologic Type,Leukemia
NCT02748460,Neoplasms by Histologic Type,Leiomyoma
NCT00412776,Neoplasms by Site,Head and Neck Neoplasms
NCT00412776,Neoplasms by Histologic Type,Carcinoma
NCT06604494,Neoplasms by Site,Otorhinolaryngologic Neoplasms
NCT05629260,Neoplasms by Site,Hematologic Neoplasms
NCT00624260,Neoplasms by Site,Colorectal Neoplasms
NCT02367794,Neoplasms by Site,Lung Neoplasms
NCT00437294,Neoplasms by Site,Breast Neoplasms
NCT05014360,Neoplasms by Site,Colorectal Neoplasms
NCT05014360,Neoplasms by Histologic Type,Adenomatous Polyposis Coli
NCT05014360,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT02073994,Neoplasms by Histologic Type,Glioma
NCT02163694,Neoplasms by Site,Breast Neoplasms
NCT01841060,Neoplasms by Site,Lung Neoplasms
NCT04811560,Neoplasms by Histologic Type,Leukemia
NCT04796194,Neoplasms by Site,Skin Neoplasms
NCT04796194,Neoplasms by Histologic Type,Melanoma
NCT03583294,Neoplasms by Histologic Type,Leukemia
NCT03483194,Neoplasms by Site,Hematologic Neoplasms
NCT00122460,Neoplasms by Site,Head and Neck Neoplasms
NCT00122460,Neoplasms by Histologic Type,"Carcinoma, Squamous Cell"
NCT06735560,Neoplasms by Site,Liver Neoplasms
NCT06735560,Neoplasms by Histologic Type,Carcinoma
NCT06295094,Neoplasms by Site,Stomach Neoplasms
NCT00690560,Neoplasms by Histologic Type,Lymphoma
NCT01270360,Neoplasms by Site,Colorectal Neoplasms
NCT01197560,Neoplasms by Histologic Type,Lymphoma
NCT02992860,Neoplasms by Histologic Type,"Leukemia, Myeloid"
NCT02992860,Precancerous Conditions,Preleukemia
NCT02954094,Neoplasms by Site,Liver Neoplasms
NCT02954094,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
NCT03350126,Neoplasms by Site,Colorectal Neoplasms
NCT03350126,Neoplastic Processes,Neoplasm Metastasis
NCT01193257,Neoplasms by Site,Prostatic Neoplasms
NCT03786926,Neoplasms by Histologic Type,Lymphoma
NCT02900326,Neoplasms by Site,Breast Neoplasms
NCT05981326,Neoplasms by Site,Breast Neoplasms
NCT04875026,Precancerous Conditions,"Keratosis, Actinic"
NCT05601726,Neoplasms by Histologic Type,Leukemia
NCT05601726,Precancerous Conditions,Preleukemia
NCT01309126,Neoplasms by Site,Colorectal Neoplasms
NCT02250326,Neoplasms by Site,Lung Neoplasms
NCT01008657,Neoplasms by Site,Liver Neoplasms
NCT01008657,Neoplasms by Histologic Type,Carcinoma
NCT01363557,Neoplasms by Site,Lung Neoplasms
NCT01363557,Neoplasms by Histologic Type,Adenocarcinoma of Lung
NCT01363557,Neoplastic Processes,Neoplasm Metastasis
NCT02898857,Neoplasms by Site,Lung Neoplasms
NCT02898857,Neoplasms by Histologic Type,Adenocarcinoma
NCT00344526,Neoplasms by Histologic Type,Immunoglobulin Light-chain Amyloidosis
NCT03662126,Neoplasms by Site,Polycythemia Vera
NCT03797326,Neoplasms by Site,Triple Negative Breast Neoplasms
NCT03797326,Neoplasms by Histologic Type,Glioblastoma
NCT04659382,Neoplasms by Site,Colorectal Neoplasms
NCT06110182,Neoplasms by Histologic Type,Leukemia
NCT01876082,Neoplasms by Histologic Type,"Fibromatosis, Aggressive"
NCT02970682,Neoplasms by Site,Breast Neoplasms
NCT01963182,Neoplasms by Site,Colorectal Neoplasms
NCT01740427,Neoplasms by Site,Breast Neoplasms
NCT03170882,Neoplasms by Histologic Type,Multiple Myeloma
NCT00003982,Neoplasms by Histologic Type,"Neoplasms, Germ Cell and Embryonal"
NCT05354882,Neoplasms by Site,Rectal Neoplasms
NCT00973882,Neoplasms by Site,Prostatic Neoplasms
NCT02929082,Neoplasms by Site,Liver Neoplasms
NCT02929082,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
NCT03630666,Neoplasms by Site,Prostatic Neoplasms
NCT02827565,Neoplasms by Site,Colorectal Neoplasms
NCT05800665,Neoplasms by Site,Prostatic Neoplasms
NCT03991065,Neoplasms by Histologic Type,Adenocarcinoma
NCT05063565,Neoplasms by Site,Liver Neoplasms
NCT05063565,Neoplasms by Histologic Type,Carcinoma
NCT02956265,Neoplasms by Histologic Type,Carcinoma
NCT04124965,Neoplasms by Site,Myasthenia Gravis
NCT04124965,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT05079230,Neoplasms by Histologic Type,Leukemia
NCT05664230,Neoplasms by Histologic Type,Leukemia
NCT04504825,Neoplasms by Histologic Type,Immunoglobulin Light-chain Amyloidosis
NCT00006230,Neoplasms by Site,Ovarian Neoplasms
NCT00006230,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT02831530,Neoplasms by Site,Breast Neoplasms
NCT02810730,Neoplasms by Histologic Type,Adenocarcinoma
NCT02591030,Neoplasms by Site,Bile Duct Neoplasms
NCT02591030,Neoplasms by Histologic Type,Cholangiocarcinoma
NCT01084330,Neoplasms by Site,Stomach Neoplasms
NCT04246125,Neoplasms by Site,Lung Neoplasms
NCT05832125,Neoplasms by Histologic Type,Leukemia
NCT02861430,Neoplasms by Site,Colonic Neoplasms
NCT01456676,Neoplasms by Histologic Type,Leukemia
NCT06312176,Neoplasms by Site,Breast Neoplasms
NCT01747876,Neoplasms by Histologic Type,Neuroblastoma
NCT02439476,Neoplasms by Histologic Type,Multiple Myeloma
NCT01118676,Neoplasms by Site,Lung Neoplasms
NCT03922776,Neoplasms by Site,Ovarian Neoplasms
NCT03922776,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT04652076,Neoplasms by Site,Endometrial Neoplasms
NCT04652076,Neoplasms by Histologic Type,Carcinoma
NCT03010176,Neoplasms by Histologic Type,Lymphoma
NCT00213876,Neoplasms by Histologic Type,Oligodendroglioma
NCT01903694,Neoplasms by Site,Liver Neoplasms
NCT01903694,Neoplasms by Histologic Type,Carcinoma
NCT06046794,Neoplasms by Site,Pancreatic Neoplasms
NCT06046794,Neoplasms by Histologic Type,Adenocarcinoma
NCT04172194,Neoplasms by Site,Liver Neoplasms
NCT04172194,Neoplasms by Histologic Type,Carcinoma
NCT05327894,Neoplasms by Histologic Type,Leukemia
NCT03579394,Neoplasms by Site,Ovarian Neoplasms
NCT03579394,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT04173494,Neoplasms by Site,Polycythemia Vera
NCT02860494,Neoplasms by Histologic Type,Angiofibroma
NCT02860494,Hamartoma,Tuberous Sclerosis
NCT02860494,"Neoplasms, Multiple Primary","Neoplasms, Multiple Primary"
NCT02860494,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT05901194,Neoplasms by Site,Liver Neoplasms
NCT05901194,Neoplasms by Histologic Type,Carcinoma
NCT00299494,Neoplasms by Histologic Type,Lymphoma
NCT01648894,Neoplasms by Site,Rectal Neoplasms
NCT04909294,Neoplasms by Histologic Type,Adenocarcinoma
NCT06350994,Neoplasms by Site,Hematologic Neoplasms
NCT06350994,Neoplasms by Histologic Type,Multiple Myeloma
NCT00885066,Neoplasms by Site,Pancreatic Neoplasms
NCT04860466,Neoplasms by Histologic Type,Lymphoma
NCT04107766,Neoplasms by Site,Liver Neoplasms
NCT05537766,Neoplasms by Histologic Type,Burkitt Lymphoma
NCT04551066,Neoplasms by Site,Polycythemia Vera
NCT01568866,Neoplasms by Histologic Type,Multiple Myeloma
NCT00392366,Neoplasms by Site,Liver Neoplasms
NCT00392366,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
NCT00392366,Neoplastic Processes,Neoplasm Metastasis
NCT03408665,Neoplasms by Site,Liver Neoplasms
NCT02626065,Neoplasms by Site,Skin Neoplasms
NCT02626065,Neoplasms by Histologic Type,Melanoma
NCT04136665,Neoplasms by Histologic Type,Leukemia
NCT03160365,Neoplasms by Site,Prostatic Neoplasms
NCT01827930,Neoplasms by Histologic Type,"Leukemia, Myeloid"
NCT03038230,Neoplasms by Histologic Type,Leukemia
NCT03250130,Neoplasms by Site,Breast Neoplasms
NCT06276530,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT00706030,Neoplasms by Site,Breast Neoplasms
NCT02900430,Neoplasms by Histologic Type,Leukemia
NCT01279330,Neoplasms by Site,Colorectal Neoplasms
NCT00426530,Neoplasms by Site,Breast Neoplasms
NCT00426530,Neoplastic Processes,Neoplasm Metastasis
NCT00750126,Neoplasms by Site,Hematologic Neoplasms
NCT01986426,Neoplasms by Site,Breast Neoplasms
NCT03837457,Neoplasms by Histologic Type,Lymphoma
NCT02857426,Neoplasms by Histologic Type,Lymphoma
NCT01605526,Neoplasms by Histologic Type,Sarcoma
NCT01014026,Neoplasms by Site,Uterine Cervical Neoplasms
NCT01014026,Precancerous Conditions,Uterine Cervical Dysplasia
NCT00591526,Neoplasms by Histologic Type,Leukemia
NCT03676257,Neoplasms by Site,Breast Neoplasms
NCT00994526,Neoplasms by Site,Colorectal Neoplasms
NCT00994526,Neoplastic Processes,Carcinogenesis
NCT03604757,Neoplasms by Site,Prostatic Neoplasms
NCT00544362,Neoplasms by Site,Esophageal Neoplasms
NCT06120491,Neoplasms by Site,Prostatic Neoplasms
NCT03276091,Neoplasms by Site,Colonic Neoplasms
NCT01235962,Neoplasms by Site,Kidney Neoplasms
NCT01235962,Neoplasms by Histologic Type,Carcinoma
NCT01245062,Neoplasms by Site,Skin Neoplasms
NCT01245062,Neoplasms by Histologic Type,Melanoma
NCT04914091,Neoplasms by Histologic Type,"Lymphoma, Large B-Cell, Diffuse"
NCT06385691,Neoplasms by Site,Stomach Neoplasms
NCT04249362,Neoplasms by Site,Lung Neoplasms
NCT00003991,Neoplasms by Histologic Type,Leukemia
NCT00270491,Neoplasms by Site,Breast Neoplasms
NCT00270491,Neoplastic Processes,Neoplasm Metastasis
NCT01539291,Neoplasms by Histologic Type,Leukemia
NCT02966691,Neoplasms by Site,Urinary Bladder Neoplasms
NCT00930891,Neoplasms by Site,Lung Neoplasms
NCT05646862,Neoplasms by Site,Breast Neoplasms
NCT01029262,Precancerous Conditions,Preleukemia
NCT02094391,Neoplasms by Site,Skin Neoplasms
NCT02094391,Neoplasms by Histologic Type,Melanoma
NCT02094391,Neoplastic Processes,Neoplasm Metastasis
NCT00136591,Neoplasms by Histologic Type,Lymphoma
NCT04547062,Neoplasms by Histologic Type,Leukemia
NCT05705791,Neoplasms by Site,Liver Neoplasms
NCT05705791,Neoplasms by Histologic Type,Carcinoma
NCT00158691,Neoplasms by Site,Head and Neck Neoplasms
NCT02973191,Neoplasms by Histologic Type,Leukemia
NCT06540391,Neoplasms by Site,Skin Neoplasms
NCT06540391,Neoplasms by Histologic Type,Melanoma
NCT04260191,Neoplasms by Site,Esophageal Neoplasms
NCT04260191,Neoplasms by Histologic Type,Adenocarcinoma
NCT05100862,Neoplasms by Histologic Type,Lymphoma
NCT00224562,Neoplasms by Histologic Type,Lymphoma
NCT04466891,Neoplasms by Site,Biliary Tract Neoplasms
NCT01212991,Neoplasms by Site,Prostatic Neoplasms
NCT04209491,Neoplasms by Site,Liver Neoplasms
NCT04209491,Neoplasms by Histologic Type,Carcinoma
NCT04658862,Neoplasms by Site,Urinary Bladder Neoplasms
NCT02104362,Neoplasms by Site,Prostatic Neoplasms
NCT03263091,Precancerous Conditions,Preleukemia
NCT03234140,Neoplasms by Histologic Type,Lymphoma
NCT00688740,Neoplasms by Site,Breast Neoplasms
NCT01776840,Neoplasms by Histologic Type,Lymphoma
NCT00920140,Neoplasms by Histologic Type,Leukemia
NCT05658640,Neoplasms by Site,Hematologic Neoplasms
NCT05658640,Neoplasms by Histologic Type,Lymphoma
NCT00370240,Neoplasms by Site,Breast Neoplasms
NCT04471844,Neoplasms by Histologic Type,Glioblastoma
NCT03507140,Neoplasms by Site,Liver Neoplasms
NCT03507140,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
NCT03690440,Neoplasms by Site,Ovarian Neoplasms
NCT03958240,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT03958240,Neoplasms by Histologic Type,Glioblastoma
NCT03958240,Precancerous Conditions,Uterine Cervical Dysplasia
NCT04313140,Neoplasms by Histologic Type,Glioma
NCT01745640,Neoplasms by Histologic Type,Multiple Myeloma
NCT00171340,Neoplasms by Site,Breast Neoplasms
NCT03956940,Neoplasms by Site,Liver Neoplasms
NCT03956940,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
NCT04469244,Neoplasms by Histologic Type,Glioma
NCT01492101,Neoplasms by Site,Breast Neoplasms
NCT04669067,Neoplasms by Histologic Type,Leukemia
NCT00931567,Neoplasms by Histologic Type,Dupuytren Contracture
NCT05450367,Neoplasms by Site,Hematologic Neoplasms
NCT03833167,Neoplasms by Histologic Type,Carcinoma
NCT01876901,Neoplasms by Site,Rectal Neoplasms
NCT03285867,Neoplasms by Site,Liver Neoplasms
NCT03285867,Neoplasms by Histologic Type,Carcinoma
NCT03194867,Neoplasms by Histologic Type,Multiple Myeloma
NCT05568667,Neoplasms by Site,Colorectal Neoplasms
NCT03674801,Neoplasms by Site,Esophageal Neoplasms
NCT02273167,Neoplasms by Site,Colorectal Neoplasms
NCT03723967,Neoplasms by Site,Head and Neck Neoplasms
NCT03723967,Neoplasms by Histologic Type,"Carcinoma, Squamous Cell"
NCT04164901,Neoplasms by Histologic Type,Glioma
NCT01650701,Neoplasms by Histologic Type,Lymphoma
NCT04203667,Neoplasms by Histologic Type,Adenoma
NCT04758767,Neoplasms by Histologic Type,Multiple Myeloma
NCT01079767,Neoplasms by Site,Liver Neoplasms
NCT03679767,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT03679767,Neoplasms by Histologic Type,Carcinoma
NCT01650467,Neoplasms by Histologic Type,Leukemia
NCT06305767,Neoplasms by Site,Urinary Bladder Neoplasms
NCT05303129,Neoplasms by Site,Breast Neoplasms
NCT03568929,Neoplasms by Histologic Type,Lymphoma
NCT00957580,Neoplasms by Site,Hematologic Neoplasms
NCT00957580,Neoplasms by Histologic Type,Leukemia
NCT04391062,Neoplasms by Histologic Type,Glioblastoma
NCT00086580,Neoplasms by Histologic Type,Leukemia
NCT02473380,Neoplasms by Histologic Type,Glioma
NCT02834780,Neoplasms by Site,Liver Neoplasms
NCT02834780,Neoplasms by Histologic Type,Carcinoma
NCT04797780,Precancerous Conditions,Preleukemia
NCT01356862,Neoplasms by Site,Breast Neoplasms
NCT01356862,Cysts,Lymphocele
NCT03236129,Neoplasms by Site,Hematologic Neoplasms
NCT00661180,Neoplasms by Histologic Type,Leukemia
NCT00189280,Neoplasms by Histologic Type,Carcinoma
NCT01958762,Neoplasms by Site,Mouth Neoplasms
NCT01719380,Neoplasms by Site,Colorectal Neoplasms
NCT06738680,Neoplasms by Site,Lung Neoplasms
NCT03696680,Neoplasms by Site,Brain Neoplasms
NCT03696680,Neoplastic Processes,Neoplasm Metastasis
NCT04158362,Neoplasms by Site,Breast Neoplasms
NCT03525080,Neoplasms by Site,Brain Neoplasms
NCT02625480,Neoplasms by Histologic Type,Lymphoma
NCT00030680,Neoplasms by Histologic Type,"Fibromatosis, Aggressive"
NCT03294980,Neoplasms by Histologic Type,Leukemia
NCT01488162,Neoplasms by Histologic Type,Leukemia
NCT05367180,Neoplasms by Site,Skin Neoplasms
NCT05367180,Neoplasms by Histologic Type,Melanoma
NCT00005980,Neoplasms by Site,Breast Neoplasms
NCT00912080,Neoplasms by Site,Breast Neoplasms
NCT06144762,Neoplasms by Site,Pancreatic Neoplasms
NCT06450080,Neoplasms by Site,Soft Tissue Neoplasms
NCT06450080,Neoplasms by Histologic Type,Carcinoma
NCT04862780,Neoplasms by Site,Lung Neoplasms
NCT04862780,Neoplasms by Histologic Type,Carcinoma
NCT01942980,Neoplasms by Site,Breast Neoplasms
NCT01942980,Neoplastic Processes,Neoplasm Metastasis
NCT03707080,Neoplasms by Site,Liver Neoplasms
NCT03707080,Neoplasms by Histologic Type,Carcinoma
NCT04487080,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT03775980,Neoplasms by Site,Colorectal Neoplasms
NCT03775980,Neoplastic Processes,Neoplasm Metastasis
NCT03386162,Neoplasms by Site,Breast Neoplasms
NCT00002462,Neoplasms by Histologic Type,Lymphoma
NCT03063762,Neoplasms by Site,Kidney Neoplasms
NCT03063762,Neoplasms by Histologic Type,Carcinoma
NCT02472080,Neoplasms by Site,Thyroid Neoplasms
NCT04758780,Neoplasms by Site,Breast Neoplasms
NCT01555762,Neoplasms by Site,Colorectal Neoplasms
NCT01146262,Neoplasms by Histologic Type,Leukemia
NCT03110562,Neoplasms by Histologic Type,Multiple Myeloma
NCT00254891,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT03377491,Neoplasms by Histologic Type,Adenocarcinoma
NCT03615391,Neoplasms by Site,Brain Neoplasms
NCT03562091,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT06425991,Neoplasms by Histologic Type,Multiple Myeloma
NCT04043494,Neoplasms by Histologic Type,Lymphoma
NCT02144194,Neoplasms by Site,Breast Neoplasms
NCT03467360,Neoplasms by Site,Small Cell Lung Carcinoma
NCT01310894,Neoplasms by Site,Prostatic Neoplasms
NCT01279694,Neoplasms by Histologic Type,Multiple Myeloma
NCT01305460,Precancerous Conditions,Preleukemia
NCT03306394,Neoplasms by Site,Colorectal Neoplasms
NCT03610360,Neoplasms by Site,Lung Neoplasms
NCT03610360,Neoplasms by Histologic Type,Mesothelioma
NCT00822094,Neoplasms by Histologic Type,Leukemia
NCT04423094,Neoplasms by Histologic Type,Glioma
NCT01417494,Neoplasms by Site,Colorectal Neoplasms
NCT03376360,Neoplasms by Site,Prostatic Neoplasms
NCT03469960,Neoplasms by Site,Lung Neoplasms
NCT01324960,Precancerous Conditions,Preleukemia
NCT00805194,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT04833894,Neoplasms by Site,Myasthenia Gravis
NCT04833894,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT02823860,Neoplasms by Site,Peritoneal Neoplasms
NCT02823860,Neoplasms by Histologic Type,Carcinoma
NCT04502394,Neoplasms by Histologic Type,Lymphoma
NCT05157594,Neoplasms by Histologic Type,Glioma
NCT03684694,Neoplasms by Histologic Type,Lymphoma
NCT02869594,Neoplasms by Site,Prostatic Neoplasms
NCT06596694,Neoplasms by Site,Gastrointestinal Neoplasms
NCT02137694,Neoplasms by Site,Uterine Cervical Neoplasms
NCT00564694,Neoplasms by Site,Colorectal Neoplasms
NCT04824794,Neoplasms by Site,Hematologic Neoplasms
NCT04824794,Neoplasms by Histologic Type,Multiple Myeloma
NCT02828462,Neoplasms by Site,Hematologic Neoplasms
NCT01295762,Neoplasms by Histologic Type,Neuroblastoma
NCT00841191,Neoplasms by Site,Colorectal Neoplasms
NCT03126591,Neoplasms by Histologic Type,Sarcoma
NCT04884191,Neoplasms by Site,Polycythemia Vera
NCT02490891,Neoplasms by Histologic Type,Lymphoma
NCT03755791,Neoplasms by Site,Liver Neoplasms
NCT03755791,Neoplasms by Histologic Type,Carcinoma
NCT01779791,Neoplasms by Histologic Type,Lymphoma
NCT04663191,Neoplasms by Site,Lung Neoplasms
NCT04873362,Neoplasms by Site,Breast Neoplasms
NCT02485691,Neoplasms by Site,Prostatic Neoplasms
NCT02844491,Neoplasms by Site,Hematologic Neoplasms
NCT00180791,Neoplasms by Site,Brain Neoplasms
NCT00180791,Neoplasms by Histologic Type,Medulloblastoma
NCT03425591,Neoplasms by Histologic Type,Lymphoma
NCT06809491,Neoplasms by Site,Skin Neoplasms
NCT06809491,Neoplasms by Histologic Type,Melanoma
NCT01297491,Neoplasms by Site,Lung Neoplasms
NCT01821391,Precancerous Conditions,"Keratosis, Actinic"
NCT03256994,Neoplasms by Site,Liver Neoplasms
NCT02730091,Neoplasms by Site,Breast Neoplasms
NCT01556191,Neoplasms by Site,Lung Neoplasms
NCT03625791,Neoplasms by Histologic Type,Sarcoma
NCT00611962,Neoplasms by Histologic Type,"Neoplasms, Germ Cell and Embryonal"
NCT01244191,Neoplasms by Site,Lung Neoplasms
NCT00066391,Neoplasms by Site,Penile Neoplasms
NCT00448591,Neoplasms by Site,Breast Neoplasms
NCT00022191,Neoplasms by Site,Urinary Bladder Neoplasms
NCT00022191,Neoplasms by Histologic Type,"Carcinoma, Transitional Cell"
NCT02279862,Neoplasms by Site,Prostatic Neoplasms
NCT05963191,Neoplasms by Site,"Colorectal Neoplasms, Hereditary Nonpolyposis"
NCT05963191,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT05103891,Neoplasms by Site,Skin Neoplasms
NCT05103891,Neoplasms by Histologic Type,Melanoma
NCT00415194,Neoplasms by Site,Head and Neck Neoplasms
NCT01974440,Neoplasms by Histologic Type,Lymphoma
NCT06611891,Neoplasms by Site,Breast Neoplasms
NCT02926391,Neoplasms by Site,Spinal Neoplasms
NCT03960112,Neoplasms by Site,Prostatic Neoplasms
NCT03252912,Neoplasms by Site,Breast Neoplasms
NCT06339346,Neoplasms by Site,Colorectal Neoplasms
NCT06540846,Neoplasms by Histologic Type,Smooth Muscle Tumor
NCT04919512,Neoplasms by Site,Urinary Bladder Neoplasms
NCT04919512,Neoplasms by Histologic Type,"Carcinoma, Transitional Cell"
NCT02465112,Neoplasms by Site,Liver Neoplasms
NCT02465112,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT02465112,Neoplastic Processes,Neoplasm Metastasis
NCT01730612,Neoplasms by Site,Breast Neoplasms
NCT01730612,Neoplasms by Histologic Type,Carcinoma
NCT01383746,Neoplasms by Histologic Type,Cholangiocarcinoma
NCT01457846,Neoplasms by Site,Stomach Neoplasms
NCT03979612,Neoplasms by Site,Endometrial Neoplasms
NCT03979612,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT04386512,Neoplasms by Histologic Type,Lymphoma
NCT06281912,Neoplasms by Site,Skin Neoplasms
NCT06281912,Neoplasms by Histologic Type,Melanoma
NCT02921646,Neoplasms by Site,Pancreatic Neoplasms
NCT01271712,Neoplasms by Site,Gastrointestinal Neoplasms
NCT01271712,Neoplasms by Histologic Type,Gastrointestinal Stromal Tumors
NCT00932412,Neoplasms by Histologic Type,Leukemia
NCT06703346,Neoplasms by Histologic Type,Liposarcoma
NCT02896946,Neoplasms by Histologic Type,Adenocarcinoma
NCT03961646,Neoplasms by Site,Pancreatic Neoplasms
NCT04888312,Neoplasms by Histologic Type,Adenocarcinoma
NCT00014612,Neoplasms by Site,Breast Neoplasms
NCT01539512,Neoplasms by Histologic Type,Leukemia
NCT04775446,Neoplasms by Site,Lung Neoplasms
NCT04775446,Neoplasms by Histologic Type,Mesothelioma
NCT00712712,Neoplastic Processes,Neoplasm Metastasis
NCT04697446,Neoplasms by Site,Lung Neoplasms
NCT04697446,Neoplasms by Histologic Type,Carcinoma
NCT02106546,Neoplasms by Site,Lung Neoplasms
NCT01881880,Neoplasms by Site,Breast Neoplasms
NCT01998880,Neoplasms by Histologic Type,Leukemia
NCT03709680,Neoplasms by Site,Brain Stem Neoplasms
NCT03709680,Neoplasms by Histologic Type,Sarcoma
NCT03508180,Neoplasms by Site,Digestive System Neoplasms
NCT03486262,Neoplasms by Site,Lung Neoplasms
NCT01538680,Neoplasms by Site,Colorectal Neoplasms
NCT05407480,Neoplasms by Histologic Type,Hodgkin Disease
NCT02934880,Neoplasms by Site,Breast Neoplasms
NCT03976362,Neoplasms by Histologic Type,"Carcinoma, Squamous Cell"
NCT00198380,Neoplasms by Site,Lung Neoplasms
NCT00198380,Neoplasms by Histologic Type,Adenocarcinoma
NCT02435680,Neoplasms by Site,Breast Neoplasms
NCT03632980,Neoplasms by Site,Prostatic Neoplasms
NCT00278889,Neoplasms by Site,Colorectal Neoplasms
NCT00748189,Neoplasms by Histologic Type,Leukemia
NCT01474980,Neoplasms by Site,Lambert-Eaton Myasthenic Syndrome
NCT01474980,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT01541280,Neoplasms by Histologic Type,Leukemia
NCT01541280,Precancerous Conditions,Preleukemia
NCT01948180,Neoplasms by Histologic Type,Lymphoma
NCT05688280,Neoplasms by Site,Lung Neoplasms
NCT05688280,Neoplasms by Histologic Type,Sarcoma
NCT00979680,Neoplasms by Site,Rectal Neoplasms
